"Alpha Group","Mint/NFT Cost (ETH)","Mint/NFT Cost ($)","Gas Fee (ETH)","Gas Fees ($)","Listing Fee Total (ETH)","Listing Fee Total ($)","Cost of Trade (ETH)","Sell Price (ETH)",Breakeven,"OS Fee","Royalty Fee","Total Fees (ETH)","Initial + Fee (ETH)","Eth Expect to Receive",Wallet,Transfer_Updated,Method_Updated,Profit/Loss,Date_Updated
TW,0.18,$517.12,0.0099,$28.33,0,$0.00,0.1899,0.3100,0.211,2.5%,7.5%,0.0409,0.2209,0.279,Main,NO,Mint,0.0891,2022-02-17
WP,0,$0.00,0.0051,$8.48,0,$0.00,0.0051,0.0870,0.0059,2.5%,10.0%,0.016,0.016,0.0761,Main,NO,Airdrop,0.0710,2022-02-17
AS,0.0525,$89.67,0.0084,$14.40,0.0034,$5.78,0.0643,0.0400,0.0646,0.0%,0.5%,0.012,0.0645,0.0398,Ledger,NO,Secondary,-0.0245,2022-02-17
AS,0.0525,$89.67,0.0084,$14.40,0,$0.00,0.0609,0.0390,0.0612,0.0%,0.5%,0.0086,0.0611,0.0388,Ledger,NO,Secondary,-0.0221,2022-02-17
WP,0,$1.17,0.0061,$10.42,0,$0.00,0.0061,0.0940,0.007,2.5%,10.0%,0.0179,0.0179,0.0823,Main,NO,Airdrop,0.0761,2022-02-18
MK,0,$0.00,0.0043,$7.30,0,$0.00,0.0043,,0.0049,2.5%,10.0%,0.0043,0.0043,0,Ledger,NO,Airdrop,-0.0043,2022-02-19
NP,0.125,$208.00,0.0045,$7.62,0.001,$1.68,0.1305,0.1540,0.1312,0.0%,0.5%,0.0063,0.1313,0.1532,Ledger,NO,Secondary,0.0227,2022-02-19
NP,1.5,"$3,866.51",0.0177,$45.71,0,$0.00,1.5177,,1.6408,2.5%,5.0%,0.0177,1.5177,0,Main,"Transfer Sent",Mint,-1.5177,2022-02-21
NP,0.11,$284.74,0.0212,$54.83,0.0092,$22.20,0.1404,0.0180,0.156,2.5%,7.5%,0.0322,0.1422,0.0162,Main,NO,Secondary,-0.1242,2022-02-21
WP,0.22,$360.33,0.0027,$4.39,0.0022,$3.56,0.2248,0.2970,0.2379,0.5%,5.0%,0.0212,0.2412,0.2807,Main,NO,Mint,0.0558,2022-02-21
WP,0.22,$360.33,0.0027,$4.39,0.0013,$2.05,0.224,0.3200,0.237,0.5%,5.0%,0.0216,0.2416,0.3024,Main,NO,Mint,0.0784,2022-02-21
NP,1.5,"$3,866.51",0.0177,$45.71,0,$0.00,1.5177,,1.6408,2.5%,5.0%,0.0177,1.5177,0,Ledger,"Transfer Received",Mint,-1.5177,2022-02-21
NP,0.07,$176.72,0.0042,$10.52,0.0038,$9.66,0.078,0.1485,0.0867,2.5%,7.5%,0.0229,0.0929,0.1337,Main,NO,Mint,0.0556,2022-02-22
NP,0.07,$176.72,0.0042,$10.52,0,$0.00,0.0742,0.1970,0.0824,2.5%,7.5%,0.0239,0.0939,0.1773,Main,NO,Mint,0.1031,2022-02-22
NP,0.07,$176.72,0.0042,$10.52,0,$0.00,0.0742,0.2710,0.0824,2.5%,7.5%,0.0313,0.1013,0.2439,Main,NO,Mint,0.1697,2022-02-22
MK,0,$0.00,0.0036,$5.89,0,$0.00,0.0036,,0.0041,2.5%,10.0%,0.0036,0.0036,0,Main,NO,Mint,-0.0036,2022-02-22
YT,0.18,$484.99,0.0083,$22.26,0.0026,$7.29,0.1909,,0.2182,2.5%,10.0%,0.0109,0.1909,0,Main,"Transfer Sent",Mint,-0.1909,2022-02-23
NP,0.0008,$1.25,0.0059,$9.49,0,$0.00,0.0067,,0.0068,2.5%,0.0%,0.0059,0.0067,0,Main,NO,Mint,-0.0067,2022-02-23
YT,0.18,$484.99,0.0083,$22.26,0.0026,$7.29,0.1909,,0.2182,2.5%,10.0%,0.0109,0.1909,0,Ledger,"Transfer Received",Mint,-0.1909,2022-02-23
NP,0.0008,$1.25,0.0064,$10.35,0,$0.00,0.0072,,0.0074,2.5%,0.0%,0.0064,0.0072,0,Ledger,NO,Mint,-0.0072,2022-02-23
AZ,0.007,$11.26,0.0006,$0.99,0.0014,$2.29,0.009,,0.0093,2.5%,0.0%,0.002,0.009,0,Main,NO,Mint,-0.0090,2022-02-24
AZ,0.007,$11.26,0.0006,$0.99,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0006,0.0076,0,Main,NO,Mint,-0.0076,2022-02-24
AZ,0.007,$11.26,0.0006,$0.99,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0006,0.0076,0,Main,NO,Mint,-0.0076,2022-02-24
AZ,0.007,$11.26,0.0006,$0.99,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0006,0.0076,0,Main,NO,Mint,-0.0076,2022-02-24
AZ,0.007,$11.26,0.0006,$0.99,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0006,0.0076,0,Main,NO,Mint,-0.0076,2022-02-24
AS,0.0207,$33.13,0.0036,$5.71,0.0011,$1.71,0.0253,0.0279,0.0254,0.0%,0.5%,0.0048,0.0254,0.0278,Main,NO,Secondary,0.0025,2022-02-26
AS,0.0207,$33.13,0.0036,$5.71,0,$0.00,0.0242,0.0294,0.0244,0.0%,0.5%,0.0037,0.0244,0.0293,Main,NO,Secondary,0.0050,2022-02-26
AS,0.0207,$33.13,0.0036,$5.71,0,$0.00,0.0242,0.0320,0.0244,0.0%,0.5%,0.0037,0.0244,0.0318,Main,NO,Secondary,0.0076,2022-02-26
AG,0.005,$8.18,0.0032,$5.17,0,$0.00,0.0082,,0.0093,2.5%,10.0%,0.0032,0.0082,0,Ledger,NO,Secondary,-0.0082,2022-02-26
TW,0.0059,$15.37,0.0083,$21.60,0.0058,$15.09,0.02,,0.0205,2.5%,0.0%,0.0141,0.02,0,Main,"Transfer Sent",Mint,-0.0200,2022-02-27
TW,0.0059,$15.37,0.0083,$21.60,0.0058,$15.09,0.02,,0.0205,2.5%,0.0%,0.0141,0.02,0,Ledger,"Transfer Received",Mint,-0.0200,2022-02-27
WP,0.2697,$438.86,0.0061,$9.87,0.0017,$2.84,0.2775,0.2986,0.2789,0.0%,0.5%,0.0093,0.279,0.2971,Ledger,NO,Mint,0.0196,2022-02-28
YT,0.07,$207.83,0.0036,$10.58,0.0029,$8.46,0.0765,0.1297,0.0827,2.5%,5.0%,0.0162,0.0862,0.12,Main,NO,Mint,0.0435,2022-03-01
YT,0.07,$207.83,0.0036,$10.58,0,$0.00,0.0736,0.1970,0.0796,2.5%,5.0%,0.0184,0.0884,0.1822,Main,NO,Mint,0.1086,2022-03-01
WP,0,$0.00,0.0036,$5.92,0,$0.00,0.0036,,0.0036,0.0%,0.0%,0.0036,0.0036,0,Main,NO,Mint,-0.0036,2022-03-02
NP,0.35,$949.79,0.0096,$25.99,0.0024,$6.62,0.362,0.6470,0.3914,2.5%,5.0%,0.0605,0.4105,0.5985,Main,NO,Mint,0.2365,2022-03-03
WP,0.0295,$46.28,0.0048,$7.53,0.0022,$3.51,0.0365,0.0390,0.0385,0.0%,5.0%,0.009,0.0385,0.0371,Main,NO,Secondary,0.0005,2022-03-03
YT,0.6,"$1,571.83",0.0159,$41.76,0.0022,$5.69,0.6181,,0.6611,2.5%,4.0%,0.0181,0.6181,0,Main,"Transfer Sent",Mint,-0.6181,2022-03-04
TW,0.088,$230.23,0.0032,$8.50,0.0028,$7.22,0.094,0.1980,0.1044,2.5%,7.5%,0.0258,0.1138,0.1782,Main,NO,Mint,0.0842,2022-03-04
TW,0.088,$230.23,0.0032,$8.50,0,$0.00,0.0912,0.1890,0.1013,2.5%,7.5%,0.0221,0.1101,0.1701,Main,NO,Mint,0.0789,2022-03-04
YT,0.6,"$1,571.83",0.0159,$41.76,0.0022,$5.69,0.6181,,0.6611,2.5%,4.0%,0.0181,0.6181,0,Ledger,"Transfer Received",Mint,-0.6181,2022-03-04
MK,0.0007,$1.08,0.0035,$5.46,0,$0.00,0.0042,,0.0051,2.5%,15.0%,0.0035,0.0042,0,Ledger,NO,Mint,-0.0042,2022-03-06
WP,0.0008,$1.22,0.0006,$0.99,0,$0.00,0.0014,,0.0014,0.0%,0.0%,0.0006,0.0014,0,Main,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0006,$0.99,0,$0.00,0.0014,,0.0014,0.0%,0.0%,0.0006,0.0014,0,Main,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0006,$0.99,0,$0.00,0.0014,,0.0014,0.0%,0.0%,0.0006,0.0014,0,Main,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0006,$0.99,0,$0.00,0.0014,,0.0014,0.0%,0.0%,0.0006,0.0014,0,Main,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0006,$0.99,0,$0.00,0.0014,,0.0014,0.0%,0.0%,0.0006,0.0014,0,Main,NO,Mint,-0.0014,2022-03-07
NP,0.087,$245.75,0.0073,$11.44,0,$0.00,0.0943,0.1290,0.1,0.0%,5.7%,0.0147,0.1017,0.1216,Main,NO,Mint,0.0273,2022-03-07
WP,0.0008,$1.22,0.0007,$1.04,0,$0.00,0.0014,,0.0015,2.5%,0.0%,0.0007,0.0014,0,Ledger,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0007,$1.04,0,$0.00,0.0014,,0.0015,2.5%,0.0%,0.0007,0.0014,0,Ledger,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0007,$1.04,0,$0.00,0.0014,,0.0015,2.5%,0.0%,0.0007,0.0014,0,Ledger,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0007,$1.04,0,$0.00,0.0014,,0.0015,2.5%,0.0%,0.0007,0.0014,0,Ledger,NO,Mint,-0.0014,2022-03-07
WP,0.0008,$1.22,0.0007,$1.04,0,$0.00,0.0014,,0.0015,2.5%,0.0%,0.0007,0.0014,0,Ledger,NO,Mint,-0.0014,2022-03-07
NP,0.0299,$45.60,0.008,$13.92,0.0017,$2.42,0.0396,0.0055,0.0417,0.0%,5.0%,0.01,0.0399,0.0052,Main,NO,Secondary,-0.0344,2022-03-08
NP,0.0299,$45.60,0.008,$13.92,0,$0.00,0.0379,0.0055,0.0399,0.0%,5.0%,0.0083,0.0382,0.0052,Main,NO,Secondary,-0.0327,2022-03-08
NP,0.1,$155.15,0.0085,$13.18,0.0027,$4.12,0.1112,0.1200,0.1117,0.0%,0.5%,0.0118,0.1118,0.1194,Ledger,NO,Secondary,0.0082,2022-03-08
NP,0.59,$917.13,0.0066,$10.32,0,$0.00,0.5966,0.6440,0.5996,0.0%,0.5%,0.0099,0.5999,0.6408,Ledger,NO,Secondary,0.0441,2022-03-08
NP,0.55,$825.81,0.0041,$6.42,0,$0.00,0.5541,0.1199,0.5569,0.0%,0.5%,0.0047,0.5547,0.1193,Ledger,NO,Secondary,-0.4348,2022-03-08
NP,0,$0.00,0,$0.00,0.0029,$8.09,0.0029,,0.0031,2.5%,5.0%,0.0029,0.0029,0,Ledger,"Transfer Received",Airdrop,-0.0029,2022-03-09
NP,0.745,"$1,936.81",0.013,$33.70,0.0291,$82.10,0.7871,0.9490,0.8329,2.5%,3.0%,0.0943,0.8393,0.8968,Ledger,NO,Secondary,0.1097,2022-03-09
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,5.0%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-03-09
MK,0,$13.37,0.0009,$1.27,0,$0.00,0.0009,,0.001,2.5%,10.0%,0.0009,0.0009,0,Ledger,NO,Airdrop,-0.0009,2022-03-09
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,10.0%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-03-09
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,10.0%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-03-09
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,10.0%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-03-09
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,10.0%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-03-09
NP,0.15,$391.48,0.0018,$4.76,0.0023,$5.97,0.1541,0.2498,0.1761,2.5%,10.0%,0.0353,0.1853,0.2186,Main,NO,Mint,0.0645,2022-03-10
NP,0.15,$391.48,0.0018,$4.76,0,$0.00,0.1518,0.2340,0.1735,2.5%,10.0%,0.0311,0.1811,0.2048,Main,NO,Mint,0.0529,2022-03-10
AS,0.4,$22.54,0.0082,$9.56,0.0025,$2.83,0.4107,4.0000,0.4563,2.5%,7.5%,0.4107,0.8107,3.6,Main,NO,Mint,3.1893,2022-03-10
WP,0.0129,$35.20,0.008,$11.29,0.002,$2.81,0.0229,0.0060,0.023,0.0%,0.5%,0.01,0.0229,0.006,Ledger,NO,Secondary,-0.0169,2022-03-10
WP,0.025,$53.48,0.0066,$9.43,0,$0.00,0.0316,0.0049,0.0318,0.0%,0.5%,0.0066,0.0316,0.0049,Ledger,NO,Secondary,-0.0267,2022-03-10
WP,0.025,$53.48,0.0066,$9.43,0,$0.00,0.0316,0.0020,0.0318,0.0%,0.5%,0.0066,0.0316,0.002,Ledger,NO,Secondary,-0.0296,2022-03-10
NP,0.15,$379.30,0.0042,$10.60,0.0033,$8.30,0.1575,0.4469,0.1759,2.5%,8.0%,0.0544,0.2044,0.4,Main,NO,Mint,0.2425,2022-03-14
NP,1,"$2,662.03",0.0036,$9.47,0.0021,$5.61,1.0057,1.1490,1.0872,2.5%,5.0%,0.0919,1.0919,1.0628,Main,NO,Mint,0.0571,2022-03-16
NP,0.088,$0.00,0.0021,$5.88,0.0021,$5.79,0.0922,0.1210,0.1024,2.5%,7.5%,0.0163,0.1043,0.1089,Main,NO,Mint,0.0167,2022-03-16
NP,0.088,$0.00,0.0021,$5.88,0,$0.00,0.0901,0.1279,0.1001,2.5%,7.5%,0.0149,0.1029,0.1151,Main,NO,Mint,0.0250,2022-03-16
NP,0.088,$0.00,0.0021,$5.88,0,$0.00,0.0901,0.1276,0.1001,2.5%,7.5%,0.0149,0.1029,0.1148,Main,NO,Mint,0.0247,2022-03-16
NP,1,"$2,642.73",0.0039,$10.19,0,$0.00,1.0039,1.4820,1.0852,2.5%,5.0%,0.115,1.115,1.3709,Ledger,NO,Mint,0.3670,2022-03-16
NP,0.06,$105.36,0.0033,$5.77,0.0016,$2.85,0.0649,0.2449,0.0702,0.0%,7.5%,0.0233,0.0833,0.2265,Ledger,NO,Mint,0.1616,2022-03-22
LV,0.2,$631.18,0.01,$31.71,0,$0.00,0.21,0.5850,0.2334,2.5%,7.5%,0.0685,0.2685,0.5265,Main,NO,Mint,0.3165,2022-03-25
LV,0.329,"$1,021.82",0.0097,$30.21,0.0013,$4.04,0.34,0.4590,0.3778,2.5%,7.5%,0.0569,0.3859,0.4131,Main,NO,Secondary,0.0731,2022-03-25
LV,0.499,"$1,552.51",0.0109,$33.88,0,$0.00,0.5099,,0.5665,2.5%,7.5%,0.0109,0.5099,0,Main,NO,Secondary,-0.5099,2022-03-25
MK,0,$1.21,0.0036,$6.29,0,$0.00,0.0036,,0.0037,0.0%,4.2%,0.0036,0.0036,0,Ledger,NO,Airdrop,-0.0036,2022-03-25
NP,0,$0.00,0.0028,$5.09,0.0014,$2.50,0.0042,0.0100,0.0045,0.0%,6.0%,0.0048,0.0048,0.0094,Main,NO,Mint,0.0052,2022-03-30
NP,0,$0.00,0,$0.00,0.0017,$3.79,0.0017,0.0860,0.0018,0.0%,0.5%,0.0022,0.0022,0.0856,Ledger,NO,Airdrop,0.0838,2022-03-31
NP,0,$0.00,0,$0.00,0,$0.00,0,0.4790,0,0.0%,0.5%,0.0024,0.0024,0.4766,Ledger,NO,Airdrop,0.4766,2022-03-31
NP,0,$0.00,0,$0.00,0.001,$1.76,0.001,0.0120,0.001,0.0%,0.5%,0.001,0.001,0.0119,Main,NO,Airdrop,0.0110,2022-04-02
NP,0.0007,$1.26,0.004,$7.19,0.0014,$2.59,0.0061,,0.0064,0.0%,5.0%,0.0054,0.0061,0,Main,NO,Mint,-0.0061,2022-04-03
NP,0.12,$224.42,0.0183,$34.14,0,$0.00,0.1383,0.2170,0.1495,0.0%,7.5%,0.0345,0.1545,0.2007,Ledger,NO,Mint,0.0625,2022-04-04
WP,0.075,$140.23,0.0138,$25.72,0.0042,$7.86,0.093,,0.093,0.0%,0.0%,0.018,0.093,0,Ledger,NO,Secondary,-0.0930,2022-04-04
LV,0.15,$478.90,0.0116,$37.02,0.0081,$25.92,0.1697,0.4970,0.1876,2.5%,7.0%,0.067,0.217,0.4498,Main,NO,Mint,0.2800,2022-04-07
LV,0.15,$478.90,0.0116,$37.02,0,$0.00,0.1616,0.5680,0.1786,2.5%,7.0%,0.0656,0.2156,0.514,Main,NO,Mint,0.3524,2022-04-07
NP,0.0007,$1.28,0.0037,$6.82,0,$0.00,0.0044,,0.0051,2.5%,12.5%,0.0037,0.0044,0,Main,NO,Mint,-0.0044,2022-04-07
NP,0.1,$301.03,0.008,$24.23,0.0075,$14.50,0.1156,,0.1321,2.5%,10.0%,0.0156,0.1156,0,Main,"Transfer Sent",Secondary,-0.1156,2022-04-09
NP,0.1,$301.03,0.008,$24.23,0.0075,$14.50,0.1156,,0.1321,2.5%,10.0%,0.0156,0.1156,0,Ledger,"Transfer Received",Secondary,-0.1156,2022-04-09
NP,0.33,$22.54,0.0078,$8.99,0,$0.00,0.3378,3.5000,0.3728,2.5%,6.9%,0.3368,0.6668,3.171,Main,NO,Mint,2.8332,2022-04-10
NP,0.0375,$113.46,0.0104,$31.49,0.0023,$6.91,0.0502,0.0790,0.0515,2.5%,0.0%,0.0147,0.0522,0.077,Main,NO,Mint,0.0268,2022-04-11
NP,0.0375,$113.46,0.0104,$31.49,0.0028,$8.45,0.0507,0.0550,0.052,2.5%,0.0%,0.0146,0.0521,0.0536,Main,NO,Mint,0.0029,2022-04-11
NP,0,$0.00,0.0016,$3.08,0,$0.00,0.0016,,0.0016,0.0%,0.0%,0.0016,0.0016,0,Main,NO,Mint,-0.0016,2022-04-12
AS,0.0105,$20.18,0.0047,$9.06,0.0013,$2.52,0.0165,0.0007,0.0176,0.0%,6.3%,0.0061,0.0166,0.0007,Main,NO,Secondary,-0.0159,2022-04-12
AS,0.0105,$20.18,0.0047,$9.06,0,$0.00,0.0152,0.0007,0.0162,0.0%,6.3%,0.0048,0.0153,0.0007,Main,NO,Secondary,-0.0146,2022-04-12
AS,0.0105,$20.18,0.0047,$9.06,0,$0.00,0.0152,0.0014,0.0162,0.0%,6.3%,0.0048,0.0153,0.0013,Main,NO,Secondary,-0.0139,2022-04-12
AS,0.0105,$20.18,0.0047,$9.06,0,$0.00,0.0152,0.0007,0.0162,0.0%,6.3%,0.0048,0.0153,0.0007,Main,NO,Secondary,-0.0146,2022-04-12
NP,0.25,$753.83,0.0124,$37.52,0.0034,$10.36,0.2659,0.3600,0.2938,2.5%,7.0%,0.0501,0.3001,0.3258,Main,NO,Mint,0.0599,2022-04-14
NP,0.158,$329.64,0.007,$14.55,0.0017,$3.57,0.1667,,0.1786,2.5%,4.2%,0.0087,0.1667,0,Ledger,NO,Secondary,-0.1667,2022-04-14
NP,0.108,$232.66,0.0059,$12.34,0,$0.00,0.1139,,0.1221,2.5%,4.2%,0.0059,0.1139,0,Ledger,NO,Secondary,-0.1139,2022-04-14
NP,0.1269,$264.94,0.0034,$7.14,0,$0.00,0.1303,,0.1397,2.5%,4.2%,0.0034,0.1303,0,Ledger,NO,Secondary,-0.1303,2022-04-14
NP,0.097,$202.95,0.0038,$7.98,0,$0.00,0.1008,,0.108,2.5%,4.2%,0.0038,0.1008,0,Ledger,NO,Secondary,-0.1008,2022-04-14
NP,0.097,$202.95,0.0038,$7.98,0,$0.00,0.1008,,0.108,2.5%,4.2%,0.0038,0.1008,0,Ledger,NO,Secondary,-0.1008,2022-04-14
MK,0,$0.00,0.0044,$9.19,0.0018,$3.78,0.0062,,0.0071,2.5%,10.0%,0.0062,0.0062,0,Main,NO,Mint,-0.0062,2022-04-15
WP,0.034,$71.44,0.005,$10.51,0.0014,$2.92,0.0404,0.0262,0.0404,0.0%,0.0%,0.0064,0.0404,0.0262,Ledger,NO,Secondary,-0.0142,2022-04-15
NP,0.12,$368.52,0.0088,$26.94,0.0014,$4.26,0.1302,0.1469,0.137,2.5%,2.5%,0.0175,0.1375,0.1396,Main,NO,Secondary,0.0094,2022-04-17
MK,0.0005,$1.04,0.0057,$11.90,0,$0.00,0.0062,,0.0064,2.5%,0.0%,0.0057,0.0062,0,Ledger,NO,Mint,-0.0062,2022-04-17
NP,0.0927,$289.19,0.0052,$16.17,0.0021,$6.67,0.1,0.1249,0.1082,2.5%,5.0%,0.0167,0.1094,0.1155,Main,NO,Mint,0.0155,2022-04-19
NP,0.269,$797.06,0.0116,$34.27,0.0036,$8.06,0.2842,0.0070,0.3248,2.5%,10.0%,0.0161,0.2851,0.0061,Main,NO,Secondary,-0.2781,2022-04-22
NP,0.259,$767.43,0.0099,$29.42,0,$0.00,0.2689,0.0070,0.3073,2.5%,10.0%,0.0108,0.2698,0.0061,Main,NO,Secondary,-0.2628,2022-04-22
NP,2.1,"$7,128.38",0.0077,$22.78,0.0053,$15.84,2.113,4.6900,2.2843,2.5%,5.0%,0.3648,2.4648,4.3383,Ledger,NO,Secondary,2.2252,2022-04-22
AS,0.039,$70.74,0.0042,$7.56,0.0033,$6.04,0.0465,0.0550,0.0465,0.0%,0.0%,0.0075,0.0465,0.055,Main,NO,Mint,0.0085,2022-04-25
AS,0.039,$70.74,0.0042,$7.56,0,$0.00,0.0432,,0.0443,2.5%,0.0%,0.0042,0.0432,0,Main,NO,Mint,-0.0432,2022-04-25
NP,0.2,$576.78,0.0054,$15.53,0,$0.00,0.2054,0.0670,0.222,2.5%,5.0%,0.0104,0.2104,0.062,Main,NO,Mint,-0.1434,2022-04-27
MK,0,$0.00,0.0061,$11.63,0,$0.00,0.0061,,0.0063,2.5%,0.0%,0.0061,0.0061,0,Main,NO,Mint,-0.0061,2022-04-27
NP,2.9349,"$8,298.48",1.0946,"$3,040.37",0.0111,$30.81,4.0406,7.8800,4.3682,2.5%,5.0%,1.6967,4.6316,7.289,Ledger,NO,Mint,3.2484,2022-05-01
NP,2.9349,"$8,298.48",1.0946,"$3,040.37",0.0014,$1.67,4.031,1.5400,4.1556,2.5%,0.5%,1.1423,4.0772,1.4938,Ledger,NO,Mint,-2.5372,2022-05-01
LV,0.25,$22.54,0.0078,$8.99,0,$0.00,0.2578,2.9000,0.2845,2.5%,6.9%,0.2804,0.5304,2.6274,Main,NO,Mint,2.3696,2022-05-10
NP,0.018,$36.52,0.0051,$10.33,0.0008,$1.54,0.0239,0.0470,0.0273,2.5%,10.0%,0.0117,0.0297,0.0411,Main,NO,Secondary,0.0173,2022-05-16
NP,0,$0.00,0.0022,$4.70,0.0014,$2.89,0.0036,0.0092,0.0041,2.5%,10.0%,0.0048,0.0048,0.0081,Main,NO,Mint,0.0044,2022-05-17
NP,0,$0.00,0.0056,$10.99,0.0018,$3.44,0.0074,0.0146,0.0084,2.5%,10.0%,0.0092,0.0092,0.0128,Ledger,NO,Mint,0.0054,2022-05-18
NP,0.007,$13.73,0.0058,$11.36,0,$0.00,0.0128,,0.0146,2.5%,10.0%,0.0058,0.0128,0,Main,NO,Secondary,-0.0128,2022-05-20
NP,0.058,$112.87,0.0168,$32.72,0.0009,$1.83,0.0757,0.2200,0.0841,2.5%,7.5%,0.0397,0.0977,0.198,Ledger,NO,Mint,0.1223,2022-05-20
NP,0,$0.00,0.0071,$13.83,0.003,$5.83,0.01,0.1360,0.0112,2.5%,7.5%,0.0236,0.0236,0.1224,Main,NO,Mint,0.1124,2022-05-21
NP,0.0199,$39.92,0.0033,$6.58,0,$0.00,0.0232,0.0294,0.0238,2.5%,0.0%,0.004,0.0239,0.0287,Main,NO,Secondary,0.0055,2022-05-22
NP,0.002,$4.09,0.0045,$9.26,0.0013,$2.55,0.0078,0.0197,0.0081,2.5%,2.0%,0.0067,0.0087,0.0188,Main,NO,Secondary,0.0110,2022-05-22
NP,0.004,$8.15,0.0069,$14.07,0,$0.00,0.0109,0.0135,0.0114,2.5%,2.0%,0.0075,0.0115,0.0129,Main,NO,Secondary,0.0020,2022-05-22
NP,0.002,$10.11,0.0051,$10.11,0.0008,$1.57,0.0079,,0.0081,2.5%,0.0%,0.0059,0.0079,0,Main,NO,Secondary,-0.0079,2022-05-24
