Date,NFT Name,ITEM ,Method,Alpha Group,Mint/NFT Cost (ETH),Mint/NFT Cost ($),Gas Fee (ETH),Gas Fees ($),Listing Fee Total (ETH),Listing Fee Total ($),Cost of Trade (ETH),Sell Price (ETH),Breakeven,OS Fee,Royalty Fee,Total Fees (ETH),Initial + Fee (ETH),Eth Expect to Receive,Location,Type,Wallet,Transfer?
09/30/2022,,1330,Secondary,NP,0.1000,$132.91,0.0031,$4.13,0.0007,$0.97,0.1038,0.0599,0.1187,2.5%,10.0%,0.0113,0.1113,0.0524,MM Wallet,NFT,Old Wallet,NO
10/01/2022,,699,Mint,LV,0.0000,$0.00,0.0006,$0.83,0.0006,$0.73,0.0012,0.0149,0.0013,2.5%,7.5%,0.0026,0.0026,0.0134,MM Wallet,NFT,Old Wallet,NO
10/01/2022,,700,Mint,LV,0.0000,$0.00,0.0006,$0.83,0.0000,$0.00,0.0006,0.0090,0.0007,2.5%,7.5%,0.0015,0.0015,0.0081,MM Wallet,NFT,Old Wallet,NO
10/01/2022,,323,Secondary,AS,0.0140,$18.36,0.0022,$2.91,0.0004,$0.49,0.0166,0.0048,0.0170,2.5%,0.0%,0.0027,0.0167,0.0047,MM Wallet,NFT,Old Wallet,NO
10/02/2022,,3383,Secondary,AS,0.0029,$3.77,0.0016,$2.12,0.0004,$0.47,0.0049,0.0080,0.0050,2.5%,0.0%,0.0022,0.0051,0.0078,MM Wallet,NFT,Old Wallet,NO
10/03/2022,,346,Mint,NP,0.0000,$0.00,0.0064,$8.43,0.0000,$0.00,0.0064,,0.0067,2.5%,2.5%,0.0064,0.0064,0.0000,MM Wallet,NFT,Old Wallet,NO
10/03/2022,,347,Mint,NP,0.0000,$0.00,0.0058,$7.71,0.0000,$0.00,0.0058,,0.0061,2.5%,2.5%,0.0058,0.0058,0.0000,MM Wallet,NFT,Old Wallet,NO
10/03/2022,,348,Mint,NP,0.0000,$0.00,0.0053,$7.04,0.0000,$0.00,0.0053,,0.0056,2.5%,2.5%,0.0053,0.0053,0.0000,MM Wallet,NFT,Old Wallet,NO
10/03/2022,,349,Mint,NP,0.0000,$0.00,0.0064,$8.47,0.0000,$0.00,0.0064,,0.0067,2.5%,2.5%,0.0064,0.0064,0.0000,MM Wallet,NFT,Old Wallet,NO
10/03/2022,,350,Mint,NP,0.0000,$0.00,0.0068,$9.06,0.0000,$0.00,0.0068,,0.0072,2.5%,2.5%,0.0068,0.0068,0.0000,MM Wallet,NFT,Old Wallet,NO
10/06/2022,,989,Airdrop,NP,0.0000,$0.00,0.0000,$0.00,0.0009,$1.12,0.0009,0.2100,0.0010,2.5%,7.5%,0.0219,0.0219,0.1890,MM Wallet,NFT,Old Wallet,NO
10/06/2022,,990,Airdrop,NP,0.0000,$0.00,0.0000,$0.00,0.0000,$0.00,0.0000,,0.0000,2.5%,7.5%,0.0000,0.0000,0.0000,MM Wallet,NFT,Old Wallet,Transfer Sent
10/06/2022,,990,Airdrop,NP,0.0000,$0.00,0.0000,$0.00,0.0008,$1.28,0.0008,,0.0009,2.5%,7.5%,0.0008,0.0008,0.0000,MM Wallet,NFT,Ledger,Transfer Received
10/09/2022,,1107,Mint,NP,0.0000,$0.00,0.0051,$6.81,0.0000,$0.00,0.0051,,0.0053,2.5%,0.0%,0.0051,0.0051,0.0000,MM Wallet,NFT,Burner,NO
10/10/2022,,344,Mint,NP,0.0900,$22.54,0.0038,$4.67,0.0028,$3.36,0.0966,1.9000,0.1104,2.5%,10.0%,0.2441,0.3341,1.6625,MM Wallet,NFT,Old Wallet,NO
10/12/2022,,1,Airdrop,M,0.0000,$389.82,0.0041,$5.12,0.0032,$4.18,0.0073,,0.0079,2.5%,5.0%,0.0073,0.0073,0.0000,MM Wallet,NFT,Ledger,NO
10/12/2022,,1907,Mint,WP,0.0000,$0.00,0.0019,$2.47,0.0000,$0.00,0.0019,0.0000,0.0020,2.5%,,0.0019,0.0019,0.0000,MM Wallet,NFT,Ledger,NO
10/14/2022,,211,Secondary,AS,0.0200,$26.18,0.0041,$5.36,0.0009,$1.17,0.0250,0.0330,0.0256,2.5%,0.0%,0.0058,0.0258,0.0322,MM Wallet,NFT,Old Wallet,NO
10/16/2022,,286,Secondary,AS,0.1760,$225.83,0.0039,$4.96,0.0009,$1.13,0.1807,0.1240,0.1854,2.5%,0.0%,0.0078,0.1838,0.1209,MM Wallet,NFT,Old Wallet,NO
10/16/2022,,1477,Mint,WP,0.0000,$0.00,0.0012,$1.56,0.0000,$0.00,0.0012,,0.0013,2.5%,5.0%,0.0012,0.0012,0.0000,MM Wallet,NFT,Burner,NO
10/22/2022,,558,Mint,AS,0.0099,$13.02,0.0020,$2.64,0.0020,$2.52,0.0139,0.0025,0.0142,2.5%,0.0%,0.0040,0.0139,0.0024,MM Wallet,NFT,Burner,NO
10/28/2022,,1,Mint,G,0.0000,$0.00,0.0019,$2.96,0.0000,$0.00,0.0019,,0.0021,2.5%,5.0%,0.0019,0.0019,0.0000,MM Wallet,NFT,Ledger,NO
11/02/2022,,3805,Secondary,WP,0.2000,$311.49,0.0041,$6.37,0.0057,$8.94,0.2098,0.7450,0.2268,2.5%,5.0%,0.0657,0.2657,0.6891,MM Wallet,NFT,Old Wallet,NO
11/02/2022,,3806,Secondary,WP,0.2000,$311.49,0.0041,$6.37,0.0000,$0.00,0.2041,0.5710,0.2093,2.5%,0.0%,0.0184,0.2184,0.5567,MM Wallet,NFT,Old Wallet,NO
11/06/2022,,344,Mint,WP,0.5900,$962.91,0.0011,$1.80,0.0014,$2.26,0.5925,0.7250,0.6405,2.5%,5.0%,0.0569,0.6469,0.6706,MM Wallet,NFT,Old Wallet,NO
11/07/2022,,4881,Mint,NP,0.0000,$0.00,0.0010,$1.66,0.0008,$1.30,0.0018,0.0169,0.0021,2.5%,10.0%,0.0039,0.0039,0.0148,MM Wallet,NFT,Old Wallet,NO
11/07/2022,,4882,Mint,NP,0.0000,$0.00,0.0010,$1.66,0.0000,$0.00,0.0010,0.0169,0.0011,2.5%,10.0%,0.0031,0.0031,0.0148,MM Wallet,NFT,Old Wallet,NO
11/07/2022,,568,Secondary,WP,0.2050,$325.36,0.0063,$9.97,0.0009,$1.04,0.2122,,0.2358,2.5%,7.5%,0.0072,0.2122,0.0000,MM Wallet,NFT,Ledger,NO
11/07/2022,,620,Secondary,WP,0.2050,$325.36,0.0063,$9.97,0.0000,$0.00,0.2113,,0.2348,2.5%,7.5%,0.0063,0.2113,0.0000,MM Wallet,NFT,Ledger,NO
11/07/2022,,777,Mint,NP,0.0000,$0.00,0.0016,$2.51,0.0000,$0.00,0.0016,,0.0016,2.5%,0.0%,0.0016,0.0016,0.0000,MM Wallet,NFT,Burner,NO
11/10/2022,,4881,Mint,NP,0.0120,$22.54,0.0083,$10.17,0.0027,$3.26,0.0230,0.4000,0.0255,2.5%,7.5%,0.0510,0.0630,0.3600,MM Wallet,NFT,Old Wallet,NO
11/10/2022,,1,Mint,WP,0.0000,$0.00,0.0030,$4.01,0.0016,$2.44,0.0046,,0.0052,2.5%,10.0%,0.0046,0.0046,0.0000,MM Wallet,NFT,Old Wallet,NO
11/11/2022,,263,Secondary,AS,0.0137,$17.26,0.0066,$8.37,0.0011,$1.41,0.0215,0.0330,0.0220,2.5%,0.0%,0.0086,0.0223,0.0322,MM Wallet,NFT,Old Wallet,NO
11/22/2022,,1510,Mnt,WP,0.0180,$20.92,0.0019,$2.19,0.0000,$0.00,0.0199,0.0294,0.0220,2.5%,6.9%,0.0047,0.0227,0.0266,MM Wallet,NFT,Old Wallet,NO
11/22/2022,,1511,Mint,WP,0.0180,$20.92,0.0019,$2.19,0.0000,$0.00,0.0199,0.0294,0.0220,2.5%,6.9%,0.0047,0.0227,0.0266,MM Wallet,NFT,Old Wallet,NO
11/23/2022,,1597,Mint,WP,0.0000,$0.00,0.0021,$2.42,0.0009,$1.09,0.0030,0.0398,0.0033,2.5%,5.0%,0.0060,0.0060,0.0368,MM Wallet,NFT,Old Wallet,NO
11/23/2022,,778,Mint,NP,0.0000,$0.00,0.0027,$3.12,0.0013,$1.55,0.0040,0.0169,0.0045,2.5%,7.5%,0.0057,0.0057,0.0152,MM Wallet,NFT,Old Wallet,NO
11/30/2022,,2155,Secondary,AS,0.1900,$244.30,0.0026,$3.35,0.0006,$0.78,0.1932,0.1990,0.1982,2.5%,0.0%,0.0082,0.1982,0.1940,MM Wallet,NFT,Ledger,NO
12/02/2022,,74,Secondary,AS,0.0239,$30.53,0.0025,$3.26,0.0007,$0.92,0.0271,0.0289,0.0301,2.5%,7.5%,0.0061,0.0300,0.0260,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,156,Secondary,AS,0.0239,$30.53,0.0025,$3.26,0.0000,$0.00,0.0264,0.0384,0.0293,2.5%,7.5%,0.0063,0.0302,0.0346,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,495,Secondary,AS,0.0180,$23.07,0.0037,$4.79,0.0013,$1.72,0.0230,0.0277,0.0236,2.5%,0.0%,0.0057,0.0237,0.0270,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,533,Secondary,AS,0.0180,$23.07,0.0037,$4.79,0.0000,$0.00,0.0217,0.0274,0.0223,2.5%,0.0%,0.0044,0.0224,0.0267,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,4307,Secondary,AS,0.0040,$5.21,0.0032,$4.08,0.0006,$0.82,0.0078,0.0013,0.0080,2.5%,0.0%,0.0039,0.0079,0.0013,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,2361,Secondary,AS,0.0040,$5.21,0.0032,$4.08,0.0000,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,2362,Secondary,AS,0.0040,$5.21,0.0032,$4.08,0.0000,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,6549,Secondary,AS,0.0040,$5.21,0.0032,$4.08,0.0000,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,6416,Secondary,AS,0.0047,$6.09,0.0036,$4.66,0.0000,$0.00,0.0083,0.0010,0.0085,2.5%,0.0%,0.0036,0.0084,0.0010,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,1437,Secondary,AS,0.0165,$21.28,0.0035,$4.52,0.0010,$1.29,0.0210,0.0001,0.0215,2.5%,0.0%,0.0045,0.0210,0.0001,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,49,Secondary,AS,0.0700,$90.54,0.0028,$3.57,0.0007,$0.89,0.0734,0.0146,0.0753,2.5%,0.0%,0.0038,0.0738,0.0142,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,1327,Mint,NP,0.0000,$0.00,0.0008,$1.07,0.0005,$0.70,0.0013,0.0018,0.0014,2.5%,0.0%,0.0014,0.0014,0.0018,MM Wallet,NFT,Old Wallet,NO
12/02/2022,,1328,Mint,NP,0.0000,$0.00,0.0008,$1.07,0.0000,$0.00,0.0008,0.0018,0.0008,2.5%,0.0%,0.0008,0.0008,0.0018,MM Wallet,NFT,Old Wallet,NO
12/04/2022,,49,Mint,WP,0.0250,$31.35,0.0013,$1.59,0.0021,$0.74,0.0284,0.0010,0.0291,2.5%,0.0%,0.0034,0.0284,0.0010,MM Wallet,NFT,Old Wallet,NO
12/04/2022,,83,Secondary,AS,0.0090,$11.47,0.0028,$3.62,0.0005,$2.57,0.0123,,0.0133,2.5%,5.0%,0.0033,0.0123,0.0000,MM Wallet,NFT,Old Wallet,NO
12/04/2022,,35,Secondary,AS,0.0095,$12.10,0.0028,$3.62,0.0000,$0.00,0.0123,,0.0133,2.5%,5.0%,0.0028,0.0123,0.0000,MM Wallet,NFT,Old Wallet,NO
12/04/2022,,804,Mint,NP,0.0070,$8.82,0.0026,$3.32,0.0000,$0.00,0.0096,,0.0099,2.5%,0.0%,0.0026,0.0096,0.0000,MM Wallet,NFT,Burner,NO
12/04/2022,,805,Mint,NP,0.0070,$8.82,0.0021,$2.66,0.0000,$0.00,0.0091,,0.0093,2.5%,0.0%,0.0021,0.0091,0.0000,MM Wallet,NFT,Burner,NO
12/06/2022,,642,Mint,WP,0.0000,$0.00,0.0015,$1.90,0.0000,$0.00,0.0015,0.0880,0.0017,2.5%,7.5%,0.0103,0.0103,0.0792,MM Wallet,NFT,Old Wallet,NO
12/06/2022,,643,Mint,WP,0.0000,$0.00,0.0015,$1.90,0.0011,$1.39,0.0026,0.0750,0.0029,2.5%,7.5%,0.0101,0.0101,0.0675,MM Wallet,NFT,Old Wallet,NO
12/06/2022,,49,Mint,NP,0.0210,$26.29,0.0021,$2.70,0.0009,$1.11,0.0240,,0.0274,2.5%,10.0%,0.0030,0.0240,0.0000,MM Wallet,NFT,Old Wallet,NO
12/06/2022,,1765,Mint,WP,0.0000,$0.00,0.0012,$1.51,0.0010,$1.25,0.0022,0.0544,0.0024,2.5%,7.5%,0.0076,0.0076,0.0490,MM Wallet,NFT,Ledger,NO
12/06/2022,,1766,Mint,WP,0.0000,$0.00,0.0012,$1.51,0.0000,$0.00,0.0012,,0.0013,2.5%,7.5%,0.0012,0.0012,0.0000,MM Wallet,NFT,Ledger,NO
12/07/2022,,2198,Mint,WP,0.0180,$22.71,0.0011,$1.37,0.0018,$2.22,0.0209,0.0250,0.0231,2.5%,6.9%,0.0053,0.0233,0.0227,MM Wallet,NFT,Old Wallet,NO
12/07/2022,,2199,Mint,WP,0.0180,$22.71,0.0011,$1.37,0.0000,$0.00,0.0191,,0.0211,2.5%,6.9%,0.0011,0.0191,0.0000,MM Wallet,NFT,Old Wallet,NO
12/08/2022,,199,Mint,WP,0.0000,$0.00,0.0009,$1.16,0.0019,$2.43,0.0028,,0.0030,2.5%,5.0%,0.0028,0.0028,0.0000,MM Wallet,NFT,Old Wallet,NO
12/08/2022,,200,Mint,WP,0.0000,$0.00,0.0009,$1.16,0.0000,$0.00,0.0009,,0.0010,2.5%,5.0%,0.0009,0.0009,0.0000,MM Wallet,NFT,Old Wallet,NO
12/09/2022,,2367,Mint,WP,0.2500,$317.40,0.0049,$6.24,0.0016,$2.06,0.2565,0.3090,0.2631,2.5%,0.0%,0.0142,0.2642,0.3013,MM Wallet,NFT,Old Wallet,NO
12/09/2022,,2367,Mint,WP,0.2500,$317.40,0.0049,$6.24,0.0000,$0.00,0.2549,0.2745,0.2614,2.5%,0.0%,0.0118,0.2618,0.2676,MM Wallet,NFT,Old Wallet,NO
12/10/2022,,427,Mint,NP,0.4000,$22.54,0.0091,$10.58,0.0009,$1.02,0.4100,2.6000,0.4685,2.5%,10.0%,0.3350,0.7350,2.2750,MM Wallet,NFT,Old Wallet,NO
12/11/2022,,3669,Mint,AZ,0.0000,$0.00,0.0021,$2.67,0.0009,$1.14,0.0030,0.0040,0.0034,2.5%,10.0%,0.0035,0.0035,0.0035,MM Wallet,NFT,Old Wallet,NO
12/11/2022,,4016,Mint,WP,0.2000,$254.42,0.0016,$2.03,0.0006,$0.80,0.2022,0.2360,0.2074,2.5%,0.0%,0.0081,0.2081,0.2301,MM Wallet,NFT,Ledger,NO
12/11/2022,,4003,Mint,AZ,0.0000,$0.00,0.0020,$2.54,0.0011,$1.41,0.0031,0.0004,0.0035,2.5%,10.0%,0.0032,0.0032,0.0004,MM Wallet,NFT,Burner,NO
12/15/2022,,3117,Mint,WP,0.0500,$63.51,0.0021,$2.63,0.0014,$1.78,0.0535,0.0597,0.0590,2.5%,6.9%,0.0091,0.0591,0.0541,MM Wallet,NFT,Old Wallet,NO
12/15/2022,,3118,Mint,WP,0.0500,$63.51,0.0021,$2.63,0.0000,$0.00,0.0521,0.0624,0.0575,2.5%,6.9%,0.0079,0.0579,0.0565,MM Wallet,NFT,Old Wallet,NO
12/15/2022,,12220,Mint,WP,0.0000,$0.00,0.0035,$4.27,0.0000,$0.00,0.0035,,0.0036,2.5%,0.0%,0.0035,0.0035,0.0000,MM Wallet,NFT,Old Wallet,NO
12/16/2022,,5,Mint,NP,0.1000,$118.91,0.0011,$1.32,0.0022,$2.71,0.1033,0.0000,0.1181,2.5%,10.0%,0.0033,0.1033,0.0000,MM Wallet,NFT,Ledger,NO
12/16/2022,,5,Mint,NP,0.1000,$118.91,0.0011,$1.32,0.0000,$0.00,0.1011,0.0000,0.1156,2.5%,10.0%,0.0011,0.1011,0.0000,MM Wallet,NFT,Ledger,NO
12/16/2022,,5,Mint,NP,0.1000,$118.91,0.0011,$1.32,0.0000,$0.00,0.1011,0.0000,0.1156,2.5%,10.0%,0.0011,0.1011,0.0000,MM Wallet,NFT,Ledger,NO
12/19/2022,,1,Mint,WP,0.1000,$117.45,0.0012,$1.41,0.0010,$1.13,0.1022,,0.1168,2.5%,10.0%,0.0022,0.1022,0.0000,MM Wallet,NFT,Ledger,NO
12/19/2022,,1,Mint,WP,0.1000,$117.45,0.0012,$1.41,0.0000,$0.00,0.1012,,0.1157,2.5%,10.0%,0.0012,0.1012,0.0000,MM Wallet,NFT,Ledger,NO
12/19/2022,,2,Mint,TW,0.0990,$116.40,0.0024,$2.88,0.0011,$1.77,0.1026,,0.1172,2.5%,10.0%,0.0036,0.1026,0.0000,MM Wallet,NFT,Ledger,NO
12/20/2022,,382,Mint,TW,0.0400,$48.28,0.0013,$1.57,0.0013,$1.53,0.0426,0.0747,0.0473,2.5%,7.5%,0.0100,0.0500,0.0672,MM Wallet,NFT,Old Wallet,NO
12/20/2022,,383,Mint,TW,0.0400,$48.28,0.0013,$1.57,0.0000,$0.00,0.0413,,0.0459,2.5%,7.5%,0.0013,0.0413,0.0000,MM Wallet,NFT,Old Wallet,NO
12/20/2022,,6,Mint,NP,0.0000,$0.00,0.0000,$0.00,0.0000,$0.00,0.0000,,0.0000,2.5%,10.0%,0.0000,0.0000,0.0000,MM Wallet,NFT,Ledger,NO
12/20/2022,,5,Secondary,NP,0.0997,$120.82,0.0019,$2.34,0.0000,$0.00,0.1016,0.0000,0.1161,2.5%,10.0%,0.0019,0.1016,0.0000,MM Wallet,NFT,Ledger,NO
12/20/2022,,5,Secondary,NP,0.1020,$123.59,0.0019,$2.34,0.0000,$0.00,0.1039,0.0000,0.1188,2.5%,10.0%,0.0019,0.1039,0.0000,MM Wallet,NFT,Ledger,NO
12/20/2022,,5,Secondary,NP,0.0997,$120.76,0.0017,$2.05,0.0000,$0.00,0.1014,0.0000,0.1159,2.5%,10.0%,0.0017,0.1014,0.0000,MM Wallet,NFT,Ledger,
12/20/2022,,5,Secondary,NP,0.1139,$138.02,0.0017,$2.10,0.0000,$0.00,0.1156,0.0000,0.1322,2.5%,10.0%,0.0017,0.1156,0.0000,MM Wallet,NFT,Ledger,
12/20/2022,,5,Secondary,NP,0.1150,$139.36,0.0017,$2.10,0.0000,$0.00,0.1167,0.0000,0.1334,2.5%,10.0%,0.0017,0.1167,0.0000,MM Wallet,NFT,Ledger,
12/21/2022,,531,Secondary,AZ,0.0042,$5.07,0.0029,$3.49,0.0009,$1.07,0.0079,0.0067,0.0086,2.5%,5.0%,0.0043,0.0084,0.0062,MM Wallet,NFT,Old Wallet,NO
12/21/2022,,533,Secondary,AZ,0.0042,$5.07,0.0029,$3.49,0.0000,$0.00,0.0070,0.0067,0.0076,2.5%,5.0%,0.0034,0.0075,0.0062,MM Wallet,NFT,Old Wallet,NO
12/21/2022,,540,Secondary,AZ,0.0042,$5.07,0.0029,$3.49,0.0000,$0.00,0.0070,0.0067,0.0076,2.5%,5.0%,0.0034,0.0075,0.0062,MM Wallet,NFT,Old Wallet,NO
12/21/2022,,7,Mint,NP,0.0000,$0.00,0.0028,$3.41,0.0019,$2.30,0.0047,,0.0054,2.5%,10.0%,0.0047,0.0047,0.0000,MM Wallet,NFT,Ledger,
12/21/2022,,7,Mint,NP,0.0000,$0.00,0.0027,$3.27,0.0000,$0.00,0.0027,,0.0031,2.5%,10.0%,0.0027,0.0027,0.0000,MM Wallet,NFT,Ledger,
12/23/2022,,213,Secondary,NP,0.0200,$24.28,0.0052,$6.36,0.0009,$1.14,0.0262,0.0066,0.0268,2.5%,0.0%,0.0063,0.0263,0.0064,MM Wallet,NFT,Old Wallet,NO
12/23/2022,,234,Secondary,NP,0.0200,$24.28,0.0052,$6.36,0.0000,$0.00,0.0252,0.0067,0.0259,2.5%,0.0%,0.0054,0.0254,0.0065,MM Wallet,NFT,Old Wallet,NO
12/23/2022,,63,Mint,AZ,0.0020,$2.44,0.0004,$0.47,0.0008,$0.96,0.0032,0.0094,0.0033,2.5%,0.0%,0.0014,0.0034,0.0092,MM Wallet,NFT,Old Wallet,NO
12/23/2022,,64,Mint,AZ,0.0020,$2.44,0.0004,$0.47,0.0000,$0.00,0.0024,0.0159,0.0024,2.5%,0.0%,0.0008,0.0028,0.0155,MM Wallet,NFT,Old Wallet,NO
12/23/2022,,65,Mint,AZ,0.0020,$2.44,0.0004,$0.47,0.0000,$0.00,0.0024,0.0087,0.0024,2.5%,0.0%,0.0006,0.0026,0.0085,MM Wallet,NFT,Old Wallet,NO
12/23/2022,,66,Mint,AZ,0.0020,$2.44,0.0004,$0.47,0.0000,$0.00,0.0024,0.0120,0.0024,2.5%,0.0%,0.0007,0.0027,0.0117,MM Wallet,NFT,Old Wallet,NO
,,66,Mint,AZ,0.0020,$2.44,0.0004,$0.47,0.0000,$0.00,0.0024,0.0120,0.0024,2.5%,0.0%,0.0007,0.0027,0.0117,MM Wallet,NFT,Old Wallet,NO
12/25/2022,,8,Mint,AZ,0.0020,$2.43,0.0003,$0.35,0.0008,$1.03,0.0031,0.0100,0.0032,2.5%,0.0%,0.0014,0.0034,0.0098,MM Wallet,NFT,Old Wallet,NO
12/25/2022,,9,Mint,AZ,0.0020,$2.43,0.0003,$0.35,0.0000,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,MM Wallet,NFT,Old Wallet,NO
12/25/2022,,10,Mint,AZ,0.0020,$2.43,0.0003,$0.35,0.0000,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,MM Wallet,NFT,Old Wallet,NO
12/25/2022,,11,Mint,AZ,0.0020,$2.43,0.0003,$0.35,0.0000,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,MM Wallet,NFT,Old Wallet,NO
12/25/2022,,12,Mint,AZ,0.0020,$2.43,0.0003,$0.35,0.0000,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,MM Wallet,NFT,Old Wallet,NO
12/29/2022,,34227,Mint,NP,0.0000,$0.00,0.0029,$4.82,0.0012,$1.86,0.0041,0.0000,0.0047,2.5%,10.0%,0.0041,0.0041,0.0000,MM Wallet,NFT,Old Wallet,NO
12/29/2022,,1,Mint,AG,0.0260,$31.10,0.0059,$7.02,0.0000,$0.00,0.0319,,0.0364,2.5%,10.0%,0.0059,0.0319,0.0000,MM Wallet,NFT,Ledger,
12/31/2022,,1,Mint,WP,0.0000,$0.00,0.0021,$2.51,0.0000,$0.00,0.0021,,0.0024,2.5%,10.0%,0.0021,0.0021,0.0000,MM Wallet,NFT,Ledger,
12/31/2022,,4,Mint,WP,0.0000,$0.00,0.0020,$2.36,0.0000,$0.00,0.0020,0.0000,0.0022,2.5%,10.0%,0.0020,0.0020,0.0000,MM Wallet,NFT,Ledger,
12/31/2022,,3,Mint,WP,0.0000,$0.00,0.0021,$2.54,0.0010,$1.51,0.0031,0.0190,0.0035,2.5%,10.0%,0.0055,0.0055,0.0166,MM Wallet,NFT,Ledger,